month,number
90年 1月,212103
90年 2月,246509
90年 3月,266176
90年 4月,247999
90年 5月,240696
90年 6月,253597
90年 7月,232608
90年 8月,240704
90年 9月,216500
90年 10月,213603
90年 11月,217828
90年 12月,242712
91年 1月,217600
91年 2月,233896
91年 3月,281522
91年 4月,245759
91年 5月,243941
91年 6月,241378
91年 7月,234596
91年 8月,246079
91年 9月,233613
91年 10月,258360
91年 11月,255645
91年 12月,285303
92年 1月,238031
92年 2月,259966
92年 3月,258128
92年 4月,110640
92年 5月,40256
92年 6月,57131
92年 7月,154174
92年 8月,200614
92年 9月,218594
92年 10月,223552
92年 11月,241349
92年 12月,245682
93年 1月,212854
93年 2月,221020
93年 3月,239575
93年 4月,229061
93年 5月,232293
93年 6月,258861
93年 7月,243396
93年 8月,253544
93年 9月,245915
93年 10月,266590
93年 11月,270553
93年 12月,276680
94年 1月,244252
94年 2月,257340
94年 3月,298282
94年 4月,269513
94年 5月,284049
94年 6月,293044
94年 7月,268269
94年 8月,281693
94年 9月,270700
94年 10月,297454
94年 11月,302277
94年 12月,311245
95年 1月,264347
95年 2月,286156
95年 3月,309381
95年 4月,290043
95年 5月,283075
95年 6月,305127
95年 7月,270850
95年 8月,292561
95年 9月,274118
95年 10月,301575
95年 11月,318663
95年 12月,323931
96年 1月,274198
96年 2月,261799
96年 3月,345295
96年 4月,316119
96年 5月,294021
96年 6月,320676
96年 7月,285075
96年 8月,308481
96年 9月,295594
96年 10月,314519
96年 11月,336370
96年 12月,363916
97年 1月,297442
97年 2月,315134
97年 3月,342062
97年 4月,302819
97年 5月,314700
97年 6月,340454
97年 7月,307287
97年 8月,311587
97年 9月,307402
97年 10月,327038
97年 11月,327224
97年 12月,352038
98年 1月,276896
98年 2月,303302
98年 3月,395201
98年 4月,448486
98年 5月,366375
98年 6月,321383
98年 7月,346718
98年 8月,367491
98年 9月,340645
98年 10月,368212
98年 11月,410489
98年 12月,449806
99年 1月,345981
99年 2月,387143
99年 3月,516512
99年 4月,506400
99年 5月,505856
99年 6月,470447
99年 7月,427763
99年 8月,442235
99年 9月,419389
99年 10月,485959
99年 11月,528998
99年 12月,530594
100年 1月,400617
100年 2月,453468
100年 3月,518215
100年 4月,550158
100年 5月,470471
100年 6月,462640
100年 7月,465656
100年 8月,506898
100年 9月,460994
100年 10月,530430
100年 11月,619343
100年 12月,648594
101年 1月,460064
101年 2月,525240
101年 3月,693185
101年 4月,691086
101年 5月,599098
101年 6月,607778
101年 7月,592449
101年 8月,607122
101年 9月,550901
101年 10月,610342
101年 11月,671617
101年 12月,702588
102年 1月,527096
102年 2月,572156
102年 3月,759233
102年 4月,691501
102年 5月,617943
102年 6月,637577
102年 7月,635232
102年 8月,686684
102年 9月,674072
102年 10月,679028
102年 11月,731430
102年 12月,804328
103年 1月,667234
103年 2月,758179
103年 3月,880398
103年 4月,891875
103年 5月,817735
103年 6月,805963
103年 7月,808701
103年 8月,812516
103年 9月,809562
103年 10月,846627
103年 11月,859007
103年 12月,952407
104年 1月,752271
104年 2月,817183
104年 3月,861592
104年 4月,888011
104年 5月,866380
104年 6月,800147
104年 7月,833239
104年 8月,894258
104年 9月,837374
104年 10月,926950
104年 11月,939483
104年 12月,1022897
105年 1月,865930
105年 2月,920155
105年 3月,1034730
105年 4月,910323
105年 5月,882565
105年 6月,817800
105年 7月,848869
105年 8月,863540
105年 9月,772241
105年 10月,845871
105年 11月,891157
105年 12月,1037098
